Neighborhood,Latitude_Centroid,Longitude_Centroid
140102,47.14507497109827,-122.4470817398844
140103,47.113372617354194,-122.4514366002845
140201,47.126373913621265,-122.41256360797342
140202,47.10801667454689,-122.38487663514579
140203,47.10681076388889,-122.41488606303419
140204,47.14979263380282,-122.4238669859155
141001,47.153397837837836,-122.52507648648648
141102,47.15193650684932,-122.51358102739727
141104,47.14592969924812,-122.51995571428571
141201,47.17094807610994,-122.5244210359408
141202,47.160945204081635,-122.52444295918367
141302,47.15862696296296,-122.5112825925926
141501,47.16305098591549,-122.50056066901408
141504,47.17354624074074,-122.47949225925926
141808,47.106559600000004,-122.4480752
150101,47.2179328807947,-122.51617168874172
150102,47.21879717791411,-122.50688871165644
150201,47.2776134375,-122.52959122767857
150203,47.29563,-122.53039
150204,47.26500907246377,-122.53053507246376
150304,47.20694276521739,-122.5351396
150305,47.20030193548387,-122.54788369727048
150308,47.20768127272727,-122.55319496969697
150501,47.21511045889101,-122.53927393881453
150502,47.21289238471673,-122.55963126482213
150701,47.22789566937119,-122.54082523326572
150802,47.25327523809524,-122.53052047619047
150804,47.24931886762361,-122.54229867623604
150806,47.24708337278106,-122.51502899408284
150911,47.23776176470588,-122.5618305882353
151001,47.23920234096692,-122.54334529262087
151101,47.23182684529828,-122.51475010111224
151302,47.22457321266968,-122.56326570135747
151802,47.20650251808973,-122.52083070911722
151804,47.20870432343234,-122.50914485148515
160101,47.29412033280507,-122.51495339144215
160301,47.273412576271184,-122.50962666666666
160302,47.27260474193548,-122.52091543548387
160401,47.27988596566524,-122.48407828326181
160402,47.282794561403506,-122.49974639376218
160602,47.26365255511022,-122.49601951903807
160701,47.271105864661656,-122.46856473684211
160702,47.26334842237062,-122.47288687813021
160703,47.26811357615894,-122.45950450331127
170901,47.24979458860759,-122.49499993670887
171001,47.24432225270758,-122.45279180505415
171201,47.218440295238096,-122.48437130476191
171401,47.217825053560176,-122.45213151858853
171901,47.19784167070218,-122.49803283292978
172001,47.19620481140755,-122.4753058325667
172101,47.19443934281843,-122.45017975609755
172501,47.249314301075266,-122.4718523655914
180101,47.18069689368771,-122.40997129568106
180102,47.16312008948546,-122.40999973154362
181501,47.217140858951176,-122.43421451175406
181601,47.2196098822837,-122.41753676868747
181701,47.225763481152995,-122.40315455654103
182201,47.19381049157303,-122.43249134831461
182301,47.19915369383092,-122.41024038842346
182401,47.17527817508417,-122.44308581144782
182402,47.164181753653445,-122.44473823590815
201,47.226117424242425,-122.4307687121212
202,47.20402624161074,-122.4399155033557
203,47.20817136363636,-122.46914015151515
204,47.20713656716418,-122.48328656716419
205,47.22227,-122.47918038461539
206,47.2237593442623,-122.49732868852459
301,47.33153107142857,-122.58426785714286
303,47.31660661654136,-122.57945255639098
305,47.29658,-122.61566755102041
401,47.286331492537315,-122.51030832089552
402,47.23520238636364,-122.45527909090909
403,47.2631736400818,-122.5259535787321
404,47.264240945273635,-122.4719563681592
405,47.264509362745095,-122.45189519607842
406,47.246454630872485,-122.47284932885906
501,47.222328305084744,-122.28831762711864
502,47.19360097222222,-122.28767958333333
503,47.186510897435895,-122.29033006410256
504,47.236628,-122.246391
505,47.20302673076923,-122.23458961538462
506,47.246340988235296,-122.21224856470589
602,46.88240181818182,-122.30484931818182
604,47.098892,-122.2214656
606,47.15335108695652,-122.03255326086956
701,47.26046507142857,-122.44431610714285
702,47.2549545323741,-122.44010179856114
703,47.24700476190476,-122.443862
704,47.2393864,-122.438534
705,47.2476977486911,-122.4342529842932
801,47.25024,-122.424342
802,47.257729999999995,-122.40729666666667
803,47.28304896551724,-122.40589482758621
804,47.24418333333333,-122.365445
805,47.23715826923077,-122.34131057692308
806,47.29272115384615,-122.38887102564102
8F1,47.094229999999996,-122.35255000000001
901,47.17771766990291,-122.39925805825243
902,47.157058596491225,-122.4157852631579
903,47.12305405063291,-122.4329017721519
904,47.14152887218045,-122.29600033834586
905,47.095292919463084,-122.28889463087249
906,47.10163163934426,-122.38249590163934
